1001,一,一[いち],One,このレモン、一キログラム！？大きいですね！,このレモン、 一[いち]キログラム！？ 大[おお]きいですね！,This lemon weighs a kilogram!? That's big!,True,,,,1
1002,一つ,一[ひと]つ,One Thing,レモン、一つ下さい。,レモン、 一[ひと]つ 下[くだ]さい。,"A lemon, please.",True,,,,1
1003,七,七[なな],Seven,コウイチのラッキーナンバーは七です。,コウイチのラッキーナンバーは 七[なな]です。,Koichi's lucky number is seven.,True,,,,1
1004,七つ,七[なな]つ,Seven Things,そのクッキー、七つ下さい。,そのクッキー、 七[なな]つ 下[くだ]さい。,"Seven of those cookies, please.",True,,,,1
1005,九,九[きゅう],Nine,ガソリンスタンドまで九マイルです。,ガソリンスタンドまで 九[きゅう]マイルです。,It is nine miles to the gas station.,True,,,,1
1006,九つ,九[ここの]つ,Nine Things,このエリアに九つの山がある。,このエリアに 九[ここの]つの 山[やま]がある。,There are nine mountains in this area.,True,,,,1
1007,二,二[に],Two,エントリーナンバーは二です。,エントリーナンバーは 二[に]です。,The entry number is two.,True,,,,1
1008,二つ,二[ふた]つ,Two Things,ビルが二つあります。,ビルが 二[ふた]つあります。,There are two buildings.,True,,,,1
1009,人,人[ひと],Person,この人がコウイチです。,この 人[ひと]がコウイチです。,This person is Koichi.,True,,,,1
1010,二人,二人[ふたり],Two People,このアパートは二人には大きい。,このアパートは 二人[ふたり]には 大[おお]きい。,This apartment is too big for two people.,True,,,,1
1011,一人,一人[ひとり],Alone,一人でカラオケにいきました。,一人[ひとり]でカラオケにいきました。,I went to karaoke alone.,True,,,,1
1012,アメリカ人,アメリカ 人[にん],American Person,アメリカ人ですか？,アメリカ 人[にん]ですか？,Are you American?,True,,,,3
1013,フランス人,フランス 人[にん],French Person,二人のフランス人がいる。,二人[ふたり]のフランス 人[にん]がいる。,There are two French people.,True,,,,3
1014,入る,入[はい]る,To Enter,ジェニーはもうすぐインターナショナルスクールに入る。,ジェニーはもうすぐインターナショナルスクールに 入[はい]る。,Jenny will go to an international school soon.,True,,,,1
1015,入れる,入[い]れる,To Insert,毎日ボトルに水を入れる。,毎日[まいにち]ボトルに 水[みず]を 入[い]れる。,I put water in a bottle every day.,True,,,,5
1016,八,八[はち],Eight,これは八ページのエッセイです。,これは 八[はち]ページのエッセイです。,This is an eight-page essay.,True,,,,1
1017,八つ,八[よう]つ,Eight Things,このカレーにはじゃがいもが八つ入っています。,このカレーにはじゃがいもが 八[よう]つ 入[はい]っています。,This curry has eight potatoes in it.,True,,,,1
1018,力,力[ちから],Power,力の大きさが、ちがう。,力[ちから]の 大[おお]きさが、ちがう。,The size of the forces is different.,True,,,,1
1019,十,十[じゅう],Ten,バターを十グラム下さい。,バターを 十[じゅう]グラム 下[くだ]さい。,"Ten grams of butter, please.",True,,,,1
1020,三,三[さん],Three,三ドルです。,三[さん]ドルです。,It's three dollars.,True,,,,1
1021,三つ,三[みっ]つ,Three Things,このスーツケースにはメロンが三つ入る。,このスーツケースにはメロンが 三[みっ]つ 入[はい]る。,This suitcase can fit three melons.,True,,,,1
1022,三人,三[さん] 人[にん],Three People,三人のルームメイトがいます。,三[さん] 人[にん]のルームメイトがいます。,I have three roommates.,True,,,,1
1023,上,上[うえ],Above,山の上でヨガをしたいね。,山[やま]の 上[うえ]でヨガをしたいね。,I want to do yoga on top of a mountain.,True,,,,1
1024,上げる,上[あ]げる,To Lift Something,大きいブランケットをロフトに上げる。,大[おお]きいブランケットをロフトに 上[あ]げる。,I lift a large blanket up to the loft.,True,,,,1
1025,上がる,上[あ]がる,To Go Up,八月に花火が上がる。,八[はち] 月[がつ]に 花火[はなび]が 上[あ]がる。,Fireworks get set off in August.,True,,,,5
1026,上る,上[のぼ]る,To Climb,ルームメイトはロフトに上る。,ルームメイトはロフトに 上[のぼ]る。,My roommate goes up to the loft.,True,,,,2
1027,下,下[した],Below,あ、テーブルの下にハムスターがいる！,あ、テーブルの 下[した]にハムスターがいる！,"Oh, there's a hamster under the table!",True,,,,1
1028,下がる,下[さ]がる,To Get Lower,雨の日は気分が下がる。,雨[あめ]の 日[ひ]は 気分[きぶん]が 下[さ]がる。,My mood is lower on rainy days.,True,,,,5
1029,下げる,下[さ]げる,To Lower Something,力いっぱいレバーを下げて！,力[ちから]いっぱいレバーを 下[さ]げて！,Lower the lever as hard as you can!,True,,,,1
1030,下さい,下[くだ]さい,Please Give Me,みそラーメン下さい。,みそラーメン 下[くだ]さい。,"A miso ramen, please.",True,,,,1
1031,口,口[くち],Mouth,口にソースがついていますよ。,口[くち]にソースがついていますよ。,There is some sauce on your mouth.,True,,,,1
1032,入り口,入[い]り 口[ぐち],Entrance,入り口は、どこ？,入[い]り 口[ぐち]は、どこ？,Where is the entrance?,True,,,,1
1033,大きい,大[おお]きい,Big,大きいメロンを下さい。,大[おお]きいメロンを 下[くだ]さい。,"A large melon, please.",True,,,,1
1034,大きさ,大[おお]きさ,Size,このサンダルの大きさは、28センチです。,このサンダルの 大[おお]きさは、28センチです。,These sandals are size 28 cm.,True,,,,1
1035,大した,大[たい]した,Great,大したことじゃないよ。,大[たい]したことじゃないよ。,It's no big deal.,True,,,,1
1036,大人,大人[おとな],Adult,大人のチケット下さい。,大人[おとな]のチケット 下[くだ]さい。,"A ticket for an adult, please.",True,,,,1
1037,女,女[おんな],Woman,バーに三人の女がいる。,バーに 三[さん] 人[にん]の 女[おんな]がいる。,There are three women at the bar.,True,,,,1
1038,山,山[やま],Mountain,これは人工の山だ。,これは 人工[じんこう]の 山[やま]だ。,This is an artificial mountain.,True,,,,1
1039,ふじ山,ふじ 山[やま],Mt Fuji,あっ、ふじ山だ！,あっ、ふじ 山[やま]だ！,"Oh, it's Mt. Fuji!",True,,,,1
1040,川,川[かわ],River,この川はアマゾン川です。,この 川[かわ]はアマゾン 川[かわ]です。,This river is the Amazon River.,True,,,,1
1041,刀,刀[かたな],Sword,いきなりサムライが刀を上げた。,いきなりサムライが 刀[かたな]を 上[あ]げた。,The samurai raised his sword out of the blue.,True,,,,2
1042,土,土[つち],Soil,そのトマト、土がついてるよ。,そのトマト、 土[つち]がついてるよ。,That tomato has some dirt on it.,True,,,,2
1043,千,千[せん],Thousand,一リットルとは、千ミリリットルのことだ。,一[いち]リットルとは、 千[せん]ミリリットルのことだ。,One liter is a thousand milliliters.,True,,,,2
1044,一千,一千[いちせん],One Thousand,一千くらいです。,一千[いちせん]くらいです。,It's about one thousand.,True,,,,2
1045,夕べ,夕[ゆう]べ,Last Night,夕べ、月をみた。,夕[ゆう]べ、 月[つき]をみた。,I saw the moon last night.,True,,,,2
1046,女の子,女[おんな]の 子[こ],Girl,白のドレスの女の子がレイチェルです。,白[しろ]のドレスの 女[おんな]の 子[こ]がレイチェルです。,The girl in the white dress is Rachel.,True,,,,2
1047,子,子[こ],Kid,そのライオンの子はシンバという。,そのライオンの 子[こ]はシンバという。,That lion's child is called Simba.,True,,,,2
1048,女子,女子[じょし],Girl,そっちは女子トイレですよ。,そっちは 女子[じょし]トイレですよ。,The ladies' room is over there.,True,,,,2
1049,小さい,小[ちい]さい,Small,小さいトマトはおいしいですよね。,小[ちい]さいトマトはおいしいですよね。,Small tomatoes are delicious.,True,,,,2
1050,丸,丸[まる],Circle,ここに丸でチェックして下さい。,ここに 丸[まる]でチェックして 下[くだ]さい。,"Check here with a circle, please.",True,,,,2
1051,丸い,丸[まる]い,Circular,丸いボールがほしい。,丸[まる]いボールがほしい。,I want a round ball.,True,,,,2
1052,〜才,〜 才[さい],Years Old,わたしは五才です。,わたしは 五[ご] 才[さい]です。,I am five years old.,True,,,,2
1053,中,中[なか],Inside,はやく中に入ろう。,はやく 中[ちゅう]に 入[はい]ろう。,Let's go inside quickly.,True,,,,2
1054,中々,中々[なかなか],Very,このカレー、中々おいしいですね。,このカレー、 中々[なかなか]おいしいですね。,This curry is delicious.,True,,,,2
1055,五月,五[ご] 月[がつ],May,五月一日にニューヨークへかえりました。,五[ご] 月[がつ] 一日[ついたち]にニューヨークへかえりました。,"On May 1st, I returned to New York.",True,,,,2
1056,五日,五[いつ] 日[か],Fifth Day,ミーティングは五日でもだいじょうぶ？,ミーティングは 五[いつ] 日[か]でもだいじょうぶ？,Is the 5th okay for the meeting?,True,,,,2
1057,五十,五十[ごじゅう],Fifty,五十メートルしかウォーキングしなかった。,五十[ごじゅう]メートルしかウォーキングしなかった。,I only walked fifty meters.,True,,,,2
1058,五つ,五[いつ]つ,Five Things,バレンタインデーにチョコレートを五つもらった。,バレンタインデーにチョコレートを 五[いつ]つもらった。,I got five chocolates on Valentine's Day.,True,,,,2
1059,五,五[ご],Five,このスマホのスクリーンの大きさは五インチです。,このスマホのスクリーンの 大[おお]きさは 五[ご]インチです。,This smartphone screen size is five inches.,True,,,,2
1060,六つ,六[むい]つ,Six Things,スプーンが六つあります。,スプーンが 六[むい]つあります。,There are six spoons.,True,,,,2
1061,六月,六[ろく] 月[がつ],June,六月にアメリカにいきました。,六[ろく] 月[がつ]にアメリカにいきました。,I went to the United States in June.,True,,,,2
1062,六日,六[むい] 日[か],Sixth Day,あなたは四月六日に、どこにいましたか？,あなたは 四[よん] 月[がつ] 六[むい] 日[か]に、どこにいましたか？,Where were you on April 6th?,True,,,,2
1063,十六,十六[じゅうろく],Sixteen,ラーメンが十六ドルもしたよ。,ラーメンが 十六[じゅうろく]ドルもしたよ。,The ramen was 16 dollars.,True,,,,2
1064,六,六[ろく],Six,わたしのソーシャルセキュリティナンバーには六がたくさんあります。,わたしのソーシャルセキュリティナンバーには 六[ろく]がたくさんあります。,There are many sixes in my social security number.,True,,,,2
1065,〜円,〜 円[えん],Yen,このドレスは五千円でした。,このドレスは 五千[ごせん] 円[えん]でした。,"This dress was 5,000 yen.",True,,,,2
1066,千円,千[せん] 円[えん],One Thousand Yen,このスカートは、千円です。,このスカートは、 千[せん] 円[えん]です。,This skirt is 1000 yen.,True,,,,2
1067,円い,円[まる]い,Round,円いフリスビーを子犬にプレゼントした。,円[まる]いフリスビーを 子犬[こいぬ]にプレゼントした。,I gave a round frisbee to a puppy as a present.,True,,,,8
1068,天,天[てん],Heaven,きっと天にいるママからのメッセージだよ。,きっと 天[てん]にいるママからのメッセージだよ。,It's probably a message from Mom in heaven.,True,,,,2
1069,天才,天才[てんさい],Genius,あの女の子は天才だ。,あの 女[おんな]の 子[こ]は 天才[てんさい]だ。,That girl is a genius.,True,,,,2
1070,手,手[て],Hand,王は手を上げて「おはよう！」といった。,王[おう]は 手[て]を 上[あ]げて「おはよう！」といった。,"The king raised his hand and said, ""Good morning!""",True,,,,2
1071,下手,下手[へた],Unskillful,ギターは下手ですが、ピアノは中々上手ですよ。,ギターは 下手[へた]ですが、ピアノは 中々[なかなか] 上手[じょうず]ですよ。,"I'm not the best at playing the guitar, but I'm pretty good at the piano.",True,,,,2
1072,上手,上手[じょうず],Good At,ジェニーさん、スキーが上手ですね。,ジェニーさん、スキーが 上手[じょうず]ですね。,"Jenny, you're good at skiing.",True,,,,2
1073,文,文[ぶん],Writing,文をかくのが上手ですね。,文[ぶん]をかくのが 上手[じょうず]ですね。,You're great at writing.,True,,,,2
1074,日,日[ひ],Sun,そろそろ日が出ますよ。,そろそろ 日[ひ]が 出[で]ますよ。,The sun will come out soon.,True,,,,2
1075,月,月[つき],Moon,夕べは月がきれいでしたね。,夕[ゆう]べは 月[つき]がきれいでしたね。,The moon was beautiful last night.,True,,,,2
1076,十月,十[じゅう] 月[がつ],October,十月に五十才になります。,十[じゅう] 月[がつ]に 五十[ごじゅう] 才[さい]になります。,I will be fifty years old in October.,True,,,,2
1077,一月,一[いち] 月[がつ],January,ウェディングパーティーは一月でした。,ウェディングパーティーは 一[いち] 月[がつ]でした。,The wedding reception was in January.,True,,,,2
1078,二月,二[に] 月[がつ],February,バレンタインデーは二月だよ。,バレンタインデーは 二[に] 月[がつ]だよ。,Valentine's Day is in February.,True,,,,2
1079,木,木[き],Tree,これはサクラの木ですか？,これはサクラの 木[き]ですか？,Is this a cherry tree?,True,,,,2
1080,水,水[みず],Water,水かジュースをもらえますか。,水[みず]かジュースをもらえますか。,Can I get water or juice?,True,,,,2
1081,火,火[ひ],Fire,キャンドルに火をつけた。,キャンドルに 火[ひ]をつけた。,I lit the candle.,True,,,,2
1082,火山,火山[かざん],Volcano,ふじ山は、火山です。,ふじ 山[やま]は、 火山[かざん]です。,Mt. Fuji is a volcano.,True,,,,2
1083,犬,犬[いぬ],Dog,ぼくのペットは犬です。,ぼくのペットは 犬[いぬ]です。,My pet is a dog.,True,,,,2
1084,子犬,子犬[こいぬ],Puppy,子犬は、かわいい。,子犬[こいぬ]は、かわいい。,The puppy is cute.,True,,,,2
1085,王,王[おう],King,わたしが王だ。,わたしが 王[おう]だ。,I am the king.,True,,,,2
1086,王子,王子[おうじ],Prince,王子が「おはよう！」いってくれた。,王子[おうじ]が「おはよう！」いってくれた。,"The prince said ""Good morning!"" to me.",True,,,,2
1087,女王,女王[じょおう],Queen,それは、女王のネックレスです。,それは、 女王[じょおう]のネックレスです。,It is the queen's necklace.,True,,,,2
