国会議事堂,国会議事堂,国会[こっかい] 議事[ぎじ] 堂[どう],Houses of Parliament,国会議事堂は見学したいんですが、どうしたらいいですか,国会[こっかい] 議事[ぎじ] 堂[どう]は 見学[けんがく]したいんですが、どうしたらいいですか,"I would like to tour the National Diet Building, what should I do?",True,,,
見学,見学,見学[けんがく],visit,国会議事堂は見学したいんですが、どうしたらいいですか,国会[こっかい] 議事[ぎじ] 堂[どう]は 見学[けんがく]したいんですが、どうしたらいいですか,"I would like to tour the National Diet Building, what should I do?",True,,,
直接,直接,直接[ちょくせつ],directly,直接いったらいいですよ,直接[ちょくせつ]いったらいいですよ,It's better if you go directly,True,,,
引っ越す,引っ越す,引[ひ]っ 越[こ]す,move,ミラーさん引っ越しの荷物は片づきました,ミラーさん 引[ひ]っ 越[こ]しの 荷物[にもつ]は 片[かた]づきました,Mr. Miller has packed up his moving belongings.,True,,,
荷物,荷物,荷物[にもつ],luggage,ミラーさん引っ越しの荷物は片づきました,ミラーさん 引[ひ]っ 越[こ]しの 荷物[にもつ]は 片[かた]づきました,Mr. Miller has packed up his moving belongings.,True,,,
片づく,片づく,片[かた]づく,Tidy up,ミラーさん引っ越しの荷物は片づきました,ミラーさん 引[ひ]っ 越[こ]しの 荷物[にもつ]は 片[かた]づきました,Mr. Miller has packed up his moving belongings.,True,,,
燃える,燃える,燃[も]える,burn,燃えるごみは月曜日朝出してください,燃[も]えるごみは 月曜[げつよう] 日[ひ] 朝[あさ] 出[だ]してください,Please put out your burnable garbage on Monday morning.,True,,,
駐車場,駐車場,駐車[ちゅうしゃ] 場[じょう],parking,ごみ置き場は駐車場の横です,ごみ 置[お]き 場[ば]は 駐車[ちゅうしゃ] 場[じょう]の 横[よこ]です,Garbage storage is next to the parking lot,True,,,
瓶,瓶,瓶[びん],bottle,瓶や缶はいつですか,瓶[びん]や 缶[かん]はいつですか,When are bottles and cans available?,True,,,
缶,缶,缶[かん],can,瓶や缶はいつですか,瓶[びん]や 缶[かん]はいつですか,When are bottles and cans available?,True,,,
修理,修理,修理[しゅうり],repair,自転車を修理します,自転[じてん] 車[しゃ]を 修理[しゅうり]します,repair the bicycle,True,,,
